Symbol,Long/Short,Entry Price,Exit Price,Entry Date,Exit Date,Profit/Loss $,Profit/Loss %,Year
DELL,Short,$212.87 ,$208.87 ,4/21/2026,5/1/2026,"$1,200.00 ",1.88%,2026
SOXL,Short,$126.07 ,$107.97 ,4/24/2026,4/28/2026,"$18,100.00 ",14.36%,2026
CIEN,Short,$496.70 ,$461.63 ,4/2/2026,4/28/2026,"$9,052.00 ",3.31%,2026
NBIS,Short,$165.75 ,$149.63 ,4/14/2026,4/24/2026,"$4,836.00 ",9.73%,2026
COHR,Short,$351.56 ,$328.13 ,4/16/2026,4/23/2026,"$7,608.00 ",3.61%,2026
MU,Short,$467.30 ,$439.77 ,4/14/2026,4/20/2026,"$5,506.00 ",5.89%,2026
FIG,Long,$19.63 ,$21.30 ,3/24/2026,4/16/2026,"$6,840.00 ",5.81%,2026
TTD,Long,$21.44 ,$23.10 ,3/17/2026,4/16/2026,"$5,885.00 ",3.66%,2026
CRM,Long,$168.95 ,$182.85 ,4/9/2026,4/16/2026,"$4,170.00 ",8.23%,2026
TEAM,Long,$58.73 ,$63.53 ,4/9/2026,4/15/2026,"$4,800.00 ",8.17%,2026
ASAN,Long,$5.65 ,$6.00 ,4/9/2026,4/15/2026,"$1,400.00 ",6.19%,2026
BABA,Long,$125.70 ,$132.15 ,3/3/2026,4/14/2026,"$10,390.00 ",3.18%,2026
DUOL,Long,$87.95 ,$95.53 ,4/9/2026,4/14/2026,"$3,790.00 ",8.62%,2026
SMR,Long,$10.18 ,$11.24 ,3/6/2026,4/14/2026,"$2,675.00 ",2.10%,2026
ORCL,Long,$140.12 ,$150.03 ,3/26/2026,4/13/2026,"$7,110.00 ",5.07%,2026
CRWD,Long,$367.37 ,$395.53 ,4/10/2026,4/13/2026,"$4,224.00 ",7.67%,2026
ADBE,Long,$236.69 ,$237.73 ,4/6/2026,4/13/2026,$624.00 ,0.44%,2026
IONQ,Long,$28.82 ,$30.86 ,3/11/2026,4/8/2026,"$12,005.00 ",4.38%,2026
VLO,Short,$246.06 ,$232.30 ,3/11/2026,4/8/2026,"$6,572.50 ",2.23%,2026
NVO,Long,$35.33 ,$38.13 ,3/30/2026,4/8/2026,"$5,600.00 ",7.93%,2026
MSFT,Long,$367.87 ,$385.00 ,3/26/2026,4/8/2026,"$5,355.00 ",3.64%,2026
WHR,Long,$53.60 ,$58.07 ,3/19/2026,4/8/2026,"$3,576.00 ",8.34%,2026
SOXS,Long,$35.87 ,$40.35 ,4/1/2026,4/2/2026,"$4,480.00 ",12.49%,2026
RGTI,Long,$12.87 ,$13.97 ,4/2/2026,4/2/2026,"$3,300.00 ",8.55%,2026
RBLX,Long,$54.16 ,$58.85 ,3/10/2026,4/1/2026,"$5,544.00 ",4.27%,2026
TEAM,Long,$64.90 ,$70.23 ,3/27/2026,4/1/2026,"$5,330.00 ",8.21%,2026
SCO,Long,$7.83 ,$8.56 ,3/26/2026,4/1/2026,"$4,675.00 ",7.96%,2026
RGTI,Long,$12.75 ,$13.70 ,3/30/2026,3/31/2026,"$4,750.00 ",7.45%,2026
ASAN,Long,$6.12 ,$6.52 ,3/20/2026,3/31/2026,"$3,100.00 ",5.07%,2026
CIEN,Short,$392.99 ,$391.87 ,3/10/2026,3/26/2026,"($2,332.00)",-0.59%,2026
SCO,Long,$7.80 ,$8.80 ,3/13/2026,3/23/2026,"$8,650.00 ",8.53%,2026
NEM,Long,$88.81 ,$95.73 ,3/23/2026,3/23/2026,"$4,152.00 ",7.79%,2026
WRD,Long,$6.50 ,$7.22 ,3/10/2026,3/23/2026,"$3,600.00 ",11.08%,2026
UAL,Long,$86.17 ,$94.50 ,3/12/2026,3/17/2026,"$4,165.00 ",9.67%,2026
IBIT,Long,$38.54 ,$41.95 ,3/6/2026,3/13/2026,"$5,115.00 ",8.85%,2026
FMC,Long,$13.33 ,$14.81 ,3/3/2026,3/12/2026,"$4,440.00 ",11.10%,2026
VLO,Short,$225.83 ,$215.50 ,3/3/2026,3/10/2026,"$4,132.00 ",4.57%,2026
UAL,Long,$89.74 ,$96.03 ,3/6/2026,3/10/2026,"$3,774.00 ",7.01%,2026
SCO,Long,$10.22 ,$10.63 ,3/5/2026,3/9/2026,"$3,675.00 ",2.40%,2026
FDX,Short,$389.37 ,$362.80 ,2/27/2026,3/6/2026,"$5,314.00 ",6.82%,2026
MSFT,Long,$388.95 ,$409.83 ,3/2/2026,3/4/2026,"$5,220.00 ",5.37%,2026
GDX,Short,$114.64 ,$105.73 ,2/25/2026,3/3/2026,"$8,912.00 ",7.77%,2026
TSM,Short,$380.55 ,$349.43 ,2/24/2026,3/3/2026,"$6,224.00 ",8.18%,2026
SLV,Short,$83.85 ,$74.50 ,2/27/2026,3/3/2026,"$3,740.00 ",11.15%,2026
SQQQ,Long,$67.57 ,$75.60 ,2/25/2026,3/3/2026,"$3,212.00 ",11.88%,2026
STX,Short,$364.16 ,$359.34 ,1/20/2026,3/3/2026,"$1,204.50 ",1.32%,2026
DUOL,Long,$96.79 ,$101.13 ,2/4/2026,2/27/2026,"$2,695.00 ",2.32%,2026
SOXL,Short,$69.55 ,$65.83 ,2/18/2026,2/26/2026,"$5,952.00 ",5.35%,2026
MSFT,Long,$392.19 ,$405.55 ,2/17/2026,2/26/2026,"$5,352.00 ",2.27%,2026
ASAN,Long,$6.81 ,$7.32 ,2/23/2026,2/26/2026,"$1,530.00 ",7.49%,2026
RGTI,Long,$15.98 ,$17.73 ,2/2/2026,2/25/2026,"$3,399.00 ",7.09%,2026
IBIT,Long,$36.83 ,$38.97 ,2/19/2026,2/25/2026,"$2,412.00 ",4.37%,2026
WDAY,Long,$122.67 ,$130.23 ,2/23/2026,2/25/2026,"$2,388.00 ",3.24%,2026
INTU,Long,$355.73 ,$384.23 ,2/23/2026,2/24/2026,"$4,275.00 ",8.01%,2026
RBLX,Long,$59.77 ,$64.37 ,2/23/2026,2/24/2026,"$3,220.00 ",7.70%,2026
PYPL,Long,$45.46 ,$44.75 ,1/21/2026,2/23/2026,"($1,420.00)",-1.56%,2026
FIG,Long,$22.86 ,$24.61 ,1/15/2026,2/18/2026,"$3,924.00 ",2.68%,2026
SOXL,Short,$68.90 ,$60.40 ,2/11/2026,2/17/2026,"$6,800.00 ",12.34%,2026
SDOW,Long,$27.80 ,$29.83 ,2/10/2026,2/17/2026,"$4,060.00 ",7.30%,2026
RDDT,Long,$127.87 ,$141.75 ,2/12/2026,2/13/2026,"$3,470.00 ",10.85%,2026
DAL,Short,$75.10 ,$67.95 ,2/9/2026,2/12/2026,"$3,575.00 ",9.52%,2026
CPNG,Long,$16.82 ,$18.29 ,2/5/2026,2/9/2026,"$2,205.00 ",8.74%,2026
MSTR,Long,$112.78 ,$121.07 ,2/4/2026,2/6/2026,"$4,680.00 ",4.15%,2026
IBIT,Long,$36.77 ,$38.72 ,2/5/2026,2/6/2026,"$3,785.00 ",3.43%,2026
RBLX,Long,$60.67 ,$66.07 ,2/6/2026,2/6/2026,"$2,160.00 ",8.90%,2026
RBLX,Long,$67.75 ,$75.25 ,1/22/2026,2/5/2026,"$6,528.00 ",6.42%,2026
AMAT,Short,$317.70 ,$303.93 ,1/5/2026,2/4/2026,"$2,754.60 ",4.34%,2026
BE,Short,$171.55 ,$162.35 ,2/3/2026,2/3/2026,"$2,760.00 ",5.36%,2026
SLV,Long,$75.99 ,$78.55 ,1/30/2026,2/3/2026,"$2,560.00 ",3.37%,2026
KOLD,Long,$17.04 ,$18.22 ,1/23/2026,2/2/2026,"$4,056.00 ",4.96%,2026
GLL,Long,$16.51 ,$18.75 ,1/29/2026,1/30/2026,"$11,200.00 ",13.57%,2026
NEM,Short,$127.06 ,$117.47 ,1/23/2026,1/30/2026,"$4,792.50 ",7.54%,2026
SOXL,Short,$70.03 ,$64.26 ,1/29/2026,1/30/2026,"$2,885.00 ",8.24%,2026
ASTS,Short,$129.07 ,$115.85 ,1/30/2026,1/30/2026,"$1,983.00 ",10.24%,2026
GLL,Long,$16.29 ,$17.15 ,1/28/2026,1/29/2026,"$7,060.00 ",4.33%,2026
SOXL,Short,$70.15 ,$65.77 ,1/28/2026,1/29/2026,"$2,190.00 ",6.24%,2026
BE,Short,$165.33 ,$156.15 ,1/28/2026,1/29/2026,"$1,147.50 ",5.55%,2026
CVNA,Short,$469.85 ,$416.93 ,1/7/2026,1/28/2026,"$3,473.50 ",9.86%,2026
ASML,Short,"$1,494.53 ","$1,418.97 ",1/27/2026,1/28/2026,"$2,338.50 ",3.48%,2026
KOLD,Long,$21.00 ,$23.20 ,1/22/2026,1/22/2026,"$2,200.00 ",10.48%,2026
ASTS,Short,$120.50 ,$107.25 ,1/16/2026,1/21/2026,"$1,325.00 ",10.99%,2026
UAL,Short,$117.90 ,$107.78 ,1/7/2026,1/20/2026,"$1,032.24 ",8.58%,2026
RBLX,Long,$77.45 ,$86.07 ,1/2/2026,1/14/2026,"$2,241.20 ",11.13%,2026
DELL,Short,$212.87 ,$208.87 ,4/21/2026,5/1/2026,"$1,200.00 ",1.88%,2025
SOXL,Short,$126.07 ,$107.97 ,4/24/2026,4/28/2026,"$18,100.00 ",14.36%,2025
CIEN,Short,$496.70 ,$461.63 ,4/2/2026,4/28/2026,"$9,052.00 ",3.31%,2025
NBIS,Short,$165.75 ,$149.63 ,4/14/2026,4/24/2026,"$4,836.00 ",9.73%,2025
COHR,Short,$351.56 ,$328.13 ,4/16/2026,4/23/2026,"$7,608.00 ",3.61%,2025
MU,Short,$467.30 ,$439.77 ,4/14/2026,4/20/2026,"$5,506.00 ",5.89%,2025
FIG,Long,$19.63 ,$21.30 ,3/24/2026,4/16/2026,"$6,840.00 ",5.81%,2025
TTD,Long,$21.44 ,$23.10 ,3/17/2026,4/16/2026,"$5,885.00 ",3.66%,2025
CRM,Long,$168.95 ,$182.85 ,4/9/2026,4/16/2026,"$4,170.00 ",8.23%,2025
TEAM,Long,$58.73 ,$63.53 ,4/9/2026,4/15/2026,"$4,800.00 ",8.17%,2025
ASAN,Long,$5.65 ,$6.00 ,4/9/2026,4/15/2026,"$1,400.00 ",6.19%,2025
BABA,Long,$125.70 ,$132.15 ,3/3/2026,4/14/2026,"$10,390.00 ",3.18%,2025
DUOL,Long,$87.95 ,$95.53 ,4/9/2026,4/14/2026,"$3,790.00 ",8.62%,2025
SMR,Long,$10.18 ,$11.24 ,3/6/2026,4/14/2026,"$2,675.00 ",2.10%,2025
ORCL,Long,$140.12 ,$150.03 ,3/26/2026,4/13/2026,"$7,110.00 ",5.07%,2025
CRWD,Long,$367.37 ,$395.53 ,4/10/2026,4/13/2026,"$4,224.00 ",7.67%,2025
ADBE,Long,$236.69 ,$237.73 ,4/6/2026,4/13/2026,$624.00 ,0.44%,2025
IONQ,Long,$28.82 ,$30.86 ,3/11/2026,4/8/2026,"$12,005.00 ",4.38%,2025
VLO,Short,$246.06 ,$232.30 ,3/11/2026,4/8/2026,"$6,572.50 ",2.23%,2025
NVO,Long,$35.33 ,$38.13 ,3/30/2026,4/8/2026,"$5,600.00 ",7.93%,2025
MSFT,Long,$367.87 ,$385.00 ,3/26/2026,4/8/2026,"$5,355.00 ",3.64%,2025
WHR,Long,$53.60 ,$58.07 ,3/19/2026,4/8/2026,"$3,576.00 ",8.34%,2025
