Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %
CLNT,Long,1/1/2012,$0.25 ,$0.45 ,2/10/2012,80.00%
SCEI,Long,1/1/2012,$1.10 ,$1.65 ,3/1/2012,86.00%
MA,Short,1/1/2012,$383.70 ,$345.70 ,1/6/2012,9.77%
SMSI,Long,1/3/2012,$1.17 ,$1.64 ,1/18/2012,75.00%
DHT,Long,1/4/2012,$0.75 ,$1.50 ,1/30/2012,100.00%
HIMX,Long,1/5/2012,$1.01 ,$1.51 ,2/3/2012,50.00%
QTWW,Long,1/13/2012,$0.78 ,$1.08 ,2/2/2012,39.00%
UNG,Long,1/17/2012,$5.49 ,$5.70 ,1/24/2012,3.80%
QID,Long,1/19/2012,$39.10 ,$35.90 ,2/8/2012,-8.00%
LEDS,Long,1/20/2012,$3.50 ,$4.25 ,2/28/2012,25.00%
BOM,Long,1/25/2012,$10.50 ,$11.25 ,1/31/2012,7.14%
SDS,Long,1/26/2012,$17.08 ,$17.55 ,5/18/2012,2.70%
AAPL(s),Long,2/15/2012,$514.26 ,$489.26 ,2/16/2012,5.00%
MSFT,Long,2/16/2012,$31.50 ,$31.50 ,4/17/2012,undefined
CAT(s),Short,2/17/2012,$116.05 ,$109.55 ,3/5/2012,6.50%
MA,Long,2/29/2012,$427.75 ,$427.75 ,3/19/2012,undefined
AAPL,Short,3/13/2012,$563.75 ,$636.23 ,4/9/2012,-12.80%
LCC,Long,3/14/2012,$7.00 ,$7.63 ,3/15/2012,-9.00%
HOG(s),Short,3/14/2012,$50.00 ,$48.50 ,3/29/2012,3.00%
IBM,Long,3/15/2012,$205.90 ,$205.90 ,4/16/2012,undefined
VXX,Long,3/20/2012,$20.05 ,$15.70 ,3/26/2012,-21.00%
BAC(s),Long,4/8/2012,$10.05 ,$8.55 ,4/9/2012,15.00%
PCLN(s),Short,4/10/2012,$753.25 ,$719.75 ,4/11/2012,4.45%
SBUX(s),Short,4/12/2012,$60.35 ,$55.50 ,5/4/2012,8.35%
SHLD,Long,4/23/2012,$52.06 ,$58.06 ,5/1/2012,11.50%
COP,Long,4/25/2012,$70.90 ,$72.19 ,4/26/2012,1.80%
SPG,Short,5/1/2012,$157.65 ,$149.65 ,5/18/2012,8.50%
FSLR,Long,5/8/2012,$17.25 ,$15.25 ,5/15/2012,11.60%
ZNGA,Long,5/10/2012,$7.95 ,$8.50 ,5/15/2012,7.00%
JPM,Long,5/18/2012,$33.25 ,$35.40 ,6/22/2012,6.50%
GG,Long,5/18/2012,$32.95 ,$36.75 ,5/23/2012,11.50%
LVS,Long,5/21/2012,$45.95 ,$48.45 ,5/22/2012,5.40%
FB,Long,5/30/2012,$27.90 ,$33.20 ,6/15/2012,18.90%
USO,Long,5/30/2012,$33.10 ,$31.43 ,6/1/2012,-5.00%
SPY (S),Short,6/19/2012,$136.15 ,$134.75 ,6/20/2012,1.00%
AAPL,Short,6/25/2012,$571.25 ,$599.41 ,7/3/2012,-4.90%
NFLX,Long,6/27/2012,$66.65 ,$77.05 ,7/5/2012,15.60%
WMT,Short,7/9/2012,$71.50 ,$75.14 ,9/13/2012,-5.00%
CORN (S),Short,7/17/2012,$50.20 ,$47.85 ,7/24/2012,4.60%
USO (S),Short,7/19/2012,$34.75 ,$32.95 ,7/23/2012,5.18%
ROSG,Long,8/2/2012,$5.90 ,$4.52 ,8/6/2012,-23.00%
SDS,Long,8/7/2012,$14.58 ,$13.20 ,9/14/2012,-9.40%
QCOM (S),Long,8/14/2012,$62.33 ,$62.33 ,9/14/2012,-2.00%
GLD (S),Long,8/23/2012,$162.25 ,$168.25 ,9/7/2012,-3.70%
SHZ,Long,9/2/2012,$0.40 ,$0.03 ,10/11/2012,-25.00%
UUP,Long,9/13/2012,$21.74 ,$22.25 ,11/16/2012,2.30%
INTC,Long,9/17/2012,$23.25 ,$21.60 ,10/11/2012,-7.00%
GOOG(s),Short,9/24/2012,$755.00 ,$735.00 ,10/18/2012,2.65%
HPQ,Long,9/28/2012,$17.22 ,$15.22 ,10/3/2012,-11.60%
QCOR,Long,10/1/2012,$18.95 ,$22.35 ,10/9/2012,18.00%
SDS,Long,10/4/2012,$53.32 ,$55.01 ,10/10/2012,3.10%
CLNE,Long,10/11/2012,$13.15 ,$12.00 ,10/31/2012,-8.00%
UGA,Long,10/17/2012,$57.72 ,$56.06 ,10/20/2012,-2.87%
QQQ(s),Short,10/18/2012,$68.00 ,$65.00 ,10/25/2012,4.40%
IBM,Long,10/23/2012,$191.25 ,$197.25 ,11/1/2012,3.40%
SRPT,Long,10/24/2012,$23.15 ,$26.65 ,11/12/2012,15.12%
DANG,Long,11/7/2012,$3.85 ,$5.20 ,5/14/2013,35.00%
AAPL,Long,11/7/2012,$562.10 ,$578.50 ,12/4/2012,2.92%
XLF,Long,11/8/2012,$15.57 ,$15.55 ,11/28/2012,undefined
VVUS,Long,11/8/2012,$10.30 ,$12.50 ,11/21/2012,21.40%
IBM,Long,11/12/2012,$187.95 ,$193.15 ,11/23/2012,2.80%
HPQ,Short,11/13/2012,$12.95 ,$11.80 ,11/20/2012,8.80%
OCZ,Long,11/13/2012,$1.30 ,$1.83 ,12/3/2012,41.00%
BIDU,Long,11/14/2012,$94.85 ,$98.85 ,12/29/2012,4.22%
MCP,Long,11/14/2012,$6.05 ,$7.70 ,11/23/2012,27.30%
CVX,Long,11/15/2012,$100.90 ,$105.80 ,1/29/2013,4.90%
QLD,Long,11/16/2012,$48.95 ,$55.20 ,11/28/2012,12.80%
RENN,Long,11/27/2012,$3.45 ,$4.02 ,1/7/2013,16.50%
AMZN,Short,11/29/2012,$250.35 ,$268.50 ,1/7/2013,-7.30%
GNK,Long,12/13/2012,$2.76 ,$3.27 ,12/18/2012,18.50%
PEIX,Long,1/1/2013,$0.35 ,$0.45 ,2/4/2013,29.50%
ROSG,Long,1/3/2013,$4.25 ,$5.50 ,1/9/2013,30.00%
MPEL,Short,1/7/2013,$19.10 ,$20.19 ,1/22/2013,-5.65%
BBY,Long,1/8/2013,$11.90 ,$13.25 ,1/11/2013,11.30%
DISH,Short,1/15/2013,$37.05 ,$36.10 ,2/19/2013,2.56%
ROSG,Long,1/24/2013,$4.45 ,$5.45 ,2/11/2013,22.50%
DIA,Short,1/28/2013,$138.85 ,$142.20 ,3/5/2013,-2.40%
MMM,Short,1/29/2013,$101.35 ,$104.15 ,2/19/2013,-2.76%
FXY,Long,2/5/2013,$104.75 ,$107.45 ,2/25/2013,2.60%
JPM,Short,2/5/2013,$48.35 ,$50.65 ,3/7/2013,-4.75%
SDS,Long,2/19/2013,$46.60 ,$48.33 ,2/21/2013,3.71%
SMH,Short,2/19/2013,$35.75 ,$34.60 ,2/21/2013,3.20%
SDS,Long,2/22/2013,$47.48 ,$47.48 ,2/27/2013,undefined
RAX,Long,2/22/2013,$52.98 ,$55.00 ,2/27/2013,3.80%
SDS,Long,2/27/2013,$47.00 ,$48.15 ,3/4/2013,2.45%
AAPL,Long,3/4/2013,$422.25 ,$465.00 ,3/25/2013,10.20%
BAC,Short,3/5/2013,$11.60 ,$12.57 ,3/25/2013,-8.30%
SDS,Long,3/11/2013,$44.83 ,$45.75 ,3/20/2013,0.92%
OXY,Short,3/11/2013,$83.10 ,$79.60 ,3/19/2013,4.20%
SLV,Short,3/12/2013,$28.30 ,$25.95 ,4/3/2013,8.30%
IBM,Short,3/13/2013,$212.10 ,$210.05 ,4/17/2013,2.00%
EMC,Short,3/13/2013,$25.15 ,$22.83 ,4/5/2013,9.22%
KR,Short,3/21/2013,$32.05 ,$34.65 ,4/22/2013,-6.67%
AMZN,Short,3/27/2013,$265.50 ,$257.00 ,4/18/2013,3.20%
SDS,Long,3/28/2013,$43.94 ,$39.25 ,5/15/2013,-10.60%
VLO,Short,4/1/2013,$45.35 ,$39.95 ,4/3/2013,11.90%
IAU,Long,4/10/2013,$15.20 ,$14.46 ,4/12/2013,-4.86%
CVX,Short,4/10/2013,$119.30 ,$114.90 ,4/17/2013,3.70%
FXY,Long,4/10/2013,$98.25 ,$100.05 ,4/15/2013,1.83%
GLD,Long,4/15/2013,$135.11 ,$138.75 ,4/22/2013,2.70%
MHP,Long,4/17/2013,$51.90 ,$54.00 ,4/29/2013,4.04%
ABX,Long,4/17/2013,$17.98 ,$19.03 ,4/24/2013,5.84%
CAT,Long,4/18/2013,$80.60 ,$82.80 ,4/22/2013,2.72%
BIDU,Long,4/18/2013,$88.25 ,$89.25 ,4/29/2013,1.13%
ROSG,Long,4/22/2013,$3.20 ,$4.01 ,5/15/2013,25.00%
JPM,Short,4/24/2013,$48.85 ,$47.00 ,5/3/2013,3.80%
TGT,Short,4/25/2013,$70.80 ,$68.20 ,8/20/2013,3.70%
IBM,Short,4/29/2013,$198.85 ,$208.50 ,5/17/2013,-4.80%
CVX,Short,5/2/2013,$122.25 ,$120.75 ,6/6/2013,1.22%
DE,Short,5/8/2013,$92.45 ,$88.95 ,5/15/2013,3.80%
SWKS,Short,5/8/2013,$22.91 ,$21.91 ,6/7/2013,4.36%
PG,Short,5/9/2013,$78.65 ,$76.05 ,6/6/2013,3.31%
QQQ,Short,5/14/2013,$73.55 ,$72.05 ,6/5/2013,2.04%
FXY,Long,5/17/2013,$94.95 ,$98.95 ,6/3/2013,4.21%
JPM,Short,5/21/2013,$53.20 ,$55.62 ,5/30/2013,-4.50%
CEF,Long,5/21/2013,$15.54 ,$16.15 ,6/11/2013,1.85%
SPG,Short,5/28/2013,$77.65 ,$70.95 ,5/29/2013,3.77%
TSLA,Long,5/29/2013,$12.60 ,$17.65 ,5/29/2013,40.00%
IYR,Long,6/3/2013,$68.15 ,$65.95 ,6/12/2013,-3.22%
O,Long,6/4/2013,$43.80 ,$41.10 ,6/20/2013,-6.16%
HMC,Long,6/7/2013,$36.35 ,$36.35 ,6/12/2013,undefined
ADM,Short,6/17/2013,$33.45 ,$36.20 ,7/11/2013,-8.20%
SPY,Long,6/21/2013,$157.55 ,$161.55 ,6/27/2013,2.54%
RSOL,Long,6/21/2013,$2.15 ,$3.05 ,6/26/2013,35.00%
SCCO,Long,6/24/2013,$26.98 ,$27.90 ,7/11/2013,3.41%
RHT,Short,6/26/2013,$46.79 ,$48.48 ,6/27/2013,-3.80%
SPY,Short,7/8/2013,$164.04 ,$170.85 ,8/2/2013,-4.15%
CVX,Short,7/9/2013,$123.30 ,$118.80 ,8/19/2013,3.65%
USO,Short,7/10/2013,$37.26 ,$33.75 ,11/5/2013,6.29%
BBBY,Short,7/11/2013,$76.35 ,$71.75 ,9/4/2013,5.95%
TSLA,Short,7/15/2013,$132.95 ,$119.75 ,7/16/2013,13.60%
IWM,Short,7/18/2013,$104.15 ,$112.72 ,11/26/2013,-8.22%
RENN,Long,7/25/2013,$3.33 ,$3.78 ,8/1/2013,13.50%
TSLA,Short,7/30/2013,$137.20 ,$176.80 ,9/19/2013,-28.80%
DD,Short,7/31/2013,$58.55 ,$56.50 ,8/28/2013,3.45%
PEIX,Long,8/5/2013,$4.05 ,$4.20 ,12/4/2013,3.70%
ORCL,Short,8/6/2013,$33.12 ,$32.50 ,10/8/2013,1.88%
FCX,Short,8/8/2013,$30.29 ,$32.83 ,9/11/2013,-9.18%
XOM,Long,8/19/2013,$87.35 ,$87.50 ,9/10/2013,0.02%
RSOL,Long,8/20/2013,$1.79 ,$2.02 ,9/5/2013,14.44%
BBY,Short,9/4/2013,$37.55 ,$38.95 ,9/17/2013,-3.73%
SCTY,Long,9/4/2013,$28.65 ,$31.40 ,9/5/2013,6.11%
ARO,Long,9/4/2013,$7.80 ,$8.31 ,9/5/2013,6.41%
CMI,Short,9/9/2013,$129.85 ,$138.15 ,10/22/2013,-6.40%
MA,Short,9/9/2013,$686.25 ,$665.25 ,10/3/2013,3.00%
VZ,Long,9/10/2013,$45.80 ,$48.40 ,9/17/2013,4.14%
AMZN,Short,9/10/2013,$300.75 ,$296.75 ,10/9/2013,1.33%
GDX,Long,9/12/2013,$25.60 ,$27.15 ,9/19/2013,5.02%
FB,Short,9/12/2013,$45.45 ,$45.10 ,10/8/2013,2.73%
GS,Short,9/16/2013,$167.40 ,$159.60 ,9/27/2013,4.66%
KORS,Short,9/18/2013,$75.25 ,$72.40 ,10/8/2013,3.79%
NDAQ,Short,9/24/2013,$32.23 ,$31.80 ,10/9/2013,1.33%
FB,Short,9/24/2013,$49.30 ,$47.30 ,10/8/2013,4.06%
XONE,Long,9/30/2013,$43.10 ,$45.50 ,10/2/2013,5.57%
XONE,Long,10/3/2013,$42.35 ,$46.35 ,10/7/2013,9.45%
ROSG,Long,10/7/2013,$3.19 ,$4.14 ,1/13/2014,29.78%
KO,Long,10/7/2013,$37.07 ,$37.75 ,10/14/2013,1.88%
AMGN,Long,10/9/2013,$106.00 ,$111.80 ,10/15/2013,3.68%
AMZN,Short,10/11/2013,$310.35 ,$332.35 ,10/22/2013,-7.00%
BBY,Short,10/15/2013,$41.12 ,$44.10 ,11/5/2013,-7.24%
FB,Short,10/15/2013,$50.60 ,$49.45 ,10/29/2013,2.27%
WYNN,Long,10/15/2013,$170.10 ,$159.70 ,11/7/2013,6.12%
JCP,Long,10/21/2013,$6.70 ,$8.10 ,11/1/2013,21.00%
MA,Short,10/22/2013,$720.35 ,$754.15 ,11/18/2013,-4.62%
UNG,Long,10/24/2013,$18.36 ,$754.15 ,11/4/2013,-6.90%
FDX,Short,10/24/2013,$131.60 ,$131.60 ,1/27/2014,undefined
BA,Short,10/30/2013,$130.55 ,$128.55 ,1/29/2014,1.55%
NUAN,Long,10/31/2013,$15.54 ,$16.00 ,11/21/2013,3.00%
TWGP,Long,11/5/2013,$3.60 ,$3.45 ,12/18/2013,4.17%
SINA,Short,11/6/2013,$81.05 ,$74.85 ,11/8/2013,7.65%
MMM,Short,11/7/2013,$127.51 ,$125.31 ,12/3/2013,1.73%
FXA,Long,11/12/2013,$93.02 ,$93.90 ,11/21/2013,0.88%
PCLN,Short,11/14/2013,"$1,136.00 ","$1,111.00 ",2/3/2014,2.20%
CELG,Long,11/15/2013,$150.59 ,$166.25 ,12/6/2013,-10.39%
FB,Long,11/26/2013,$45.15 ,$52.05 ,12/12/2013,9.10%
ADBE,Short,11/29/2013,$56.90 ,$54.60 ,12/5/2013,4.04%
HAL,Long,12/5/2013,$50.50 ,$50.75 ,1/16/2014,0.50%
ECTE,Long,12/5/2013,$2.70 ,$3.60 ,12/11/2013,21.50%
NEWL,Long,12/5/2013,$1.95 ,$2.30 ,12/27/2013,17.95%
WPRT,Long,12/9/2013,$18.90 ,$17.75 ,12/18/2013,-6.08%
IBB,Short,12/10/2013,$121.75 ,$239.25 ,3/24/2014,-7.89%
CCXI,Long,12/12/2013,$5.19 ,$6.19 ,1/2/2014,19.27%
ABIO,Long,12/17/2013,$1.53 ,$2.20 ,1/8/2014,43.40%
TWGP,Long,12/20/2013,$2.53 ,$3.25 ,12/30/2013,28.50%
TWTR,Short,12/24/2013,$67.30 ,$64.80 ,12/27/2013,3.72%
YHOO,Short,12/27/2013,$40.47 ,$38.30 ,1/24/2014,5.36%
SINA,Short,1/3/2014,$82.72 ,$88.96 ,1/8/2014,-7.54%
TWTR,Short,1/3/2014,$70.35 ,$58.35 ,1/8/2014,17.04%
CORN,Long,1/6/2014,$31.00 ,$32.75 ,2/28/2014,5.65%
WYNN,Short,1/7/2014,$202.80 ,$199.80 ,1/24/2014,1.50%
FXC,Long,1/9/2014,$91.67 ,$92.27 ,7/29/2014,0.66%
AUY,Long,1/9/2014,$9.00 ,$9.60 ,1/14/2014,6.67%
VXX,Long,1/13/2014,$40.75 ,$43.75 ,1/24/2014,7.36%
AMZN,Short,1/13/2014,$398.35 ,$383.35 ,1/27/2014,3.77%
F,Short,1/17/2014,$16.64 ,$15.75 ,1/27/2014,4.39%
JCP,Long,1/21/2014,$6.45 ,$5.10 ,2/4/2014,-20.90%
ANF,Long,1/27/2014,$34.35 ,$36.65 ,1/28/2014,6.70%
BBBY,Long,1/27/2014,$64.44 ,$67.92 ,2/26/2014,3.92%
FCX,Long,1/27/2014,$32.35 ,$33.01 ,2/11/2014,2.05%
MCP,Long,1/29/2014,$4.85 ,$5.17 ,2/10/2014,6.60%
RIG,Long,1/29/2014,$43.70 ,$44.10 ,2/12/2014,0.95%
TGT,Long,1/31/2014,$56.27 ,$56.27 ,2/21/2014,undefined
SINA,Long,2/3/2014,$64.15 ,$67.15 ,2/7/2014,4.68%
PBR,Long,2/4/2014,$10.87 ,$11.43 ,2/7/2014,5.15%
BA,Long,2/5/2014,$119.50 ,$124.50 ,2/7/2014,4.18%
VXX,Long,2/11/2014,$43.85 ,$46.25 ,3/3/2014,5.47%
ADBE,Short,2/11/2014,$64.27 ,$61.65 ,4/4/2014,4.08%
YHOO,Short,2/12/2014,$38.45 ,$34.65 ,4/4/2014,9.36%
MOS,Short,2/12/2014,$48.27 ,$47.50 ,4/11/2014,1.59%
IWM,Short,2/14/2014,$114.20 ,$108.85 ,4/15/2014,4.69%
V,Short,2/14/2014,$225.85 ,$203.50 ,4/7/2014,9.90%
PRGO,Short,2/18/2014,$154.10 ,$167.40 ,3/4/2014,-8.63%
AUY,Long,2/24/2014,$10.41 ,$9.07 ,3/24/2014,-12.87%
FB,Short,2/24/2014,$70.15 ,$64.50 ,3/24/2014,8.05%
PCLN,Short,2/24/2014,"$1,315.00 ","$1,273.00 ",3/14/2014,3.20%
GILD,Short,2/27/2014,$83.80 ,$76.30 ,3/14/2014,8.95%
CGA,Long,3/4/2014,$3.00 ,$3.60 ,9/12/2014,20.00%
DD,Short,3/5/2014,$67.35 ,$64.95 ,6/27/2014,3.56%
SPY,Short,3/5/2014,$187.80 ,$186.20 ,3/18/2014,0.85%
PLUG,Long,3/11/2014,$5.76 ,$6.36 ,3/12/2014,10.42%
JJC,Long,3/11/2014,$35.79 ,$36.35 ,3/19/2014,1.56%
USO,Long,3/12/2014,$35.20 ,$35.57 ,3/18/2014,1.05%
JO,Short,3/12/2014,$40.65 ,$37.65 ,3/17/2014,7.65%
COG,Long,3/18/2014,$33.38 ,$34.45 ,4/10/2014,1.60%
WDC,Short,3/18/2014,$85.60 ,$93.35 ,4/1/2014,-9.05%
FDX,Short,3/21/2014,$136.38 ,$133.92 ,4/4/2014,1.80%
SH,Long,3/21/2014,$24.77 ,$25.04 ,4/17/2014,1.23%
GLD,Long,3/26/2014,$125.35 ,$127.10 ,4/10/2014,1.40%
PCLN,Long,3/27/2014,"$1,159.00 ","$1,210.00 ",3/28/2014,4.40%
DDD,Short,4/1/2014,$59.32 ,$54.65 ,4/7/2014,7.87%
VXX,Long,4/2/2014,$40.85 ,$43.05 ,4/7/2014,5.39%
QCOM,Short,4/3/2014,$81.25 ,$76.90 ,4/24/2014,5.35%
NFLX,Long,4/4/2014,$337.75 ,$354.15 ,4/10/2014,4.86%
LNKD,Long,4/7/2014,$158.35 ,$175.35 ,4/9/2014,10.75%
P,Long,4/7/2014,$25.95 ,$28.30 ,4/8/2014,9.09%
VXX,Long,4/9/2014,$41.15 ,$43.45 ,4/10/2014,5.56%
RIG,Short,4/9/2014,$40.89 ,$40.26 ,4/14/2014,1.52%
WFM,Long,4/14/2014,$49.29 ,$49.80 ,4/29/2014,1.01%
IBB,Long,4/14/2014,$211.40 ,$233.40 ,4/22/2014,10.41%
NFLX,Long,4/15/2014,$318.75 ,$340.75 ,4/21/2014,6.90%
VXX,Long,4/21/2014,$41.20 ,$37.15 ,5/12/2014,-9.83%
CVX,Short,4/21/2014,$124.20 ,$122.00 ,6/3/2014,1.77%
KO,Short,4/22/2014,$40.66 ,$42.40 ,7/21/2014,-4.28%
IYT,Short,4/22/2014,$138.30 ,$147.20 ,6/6/2014,-6.43%
IWM,Short,4/22/2014,$115.00 ,$108.70 ,5/16/2014,5.48%
FEYE,Long,4/25/2014,$35.95 ,$26.60 ,5/9/2014,-26.00%
CRM,Long,4/28/2014,$48.58 ,$51.22 ,5/7/2014,5.43%
DANG,Long,4/30/2014,$10.50 ,$11.55 ,5/1/2014,10.00%
UNH,Long,5/1/2014,$74.91 ,$78.15 ,5/27/2014,4.16%
TBT,Long,5/2/2014,$62.69 ,$57.77 ,7/29/2014,-7.85%
WHR,Short,5/2/2014,$152.54 ,$144.54 ,5/14/2014,5.25%
GE,Short,5/5/2014,$26.29 ,$26.77 ,5/30/2014,-1.80%
QCOM,Short,5/9/2014,$79.50 ,$75.95 ,7/24/2014,4.47%
BRK.B,Short,5/14/2014,$127.85 ,$132.95 ,8/11/2014,-3.99%
FB,Short,5/16/2014,$58.04 ,$64.45 ,6/13/2014,-10.90%
TSN,Short,5/16/2014,$40.90 ,$38.70 ,5/22/2014,5.25%
TWTR,Long,5/21/2014,$31.35 ,$33.35 ,5/28/2014,6.37%
VXX,Long,5/23/2014,$34.93 ,$29.43 ,6/18/2014,-15.74%
MA,Long,5/23/2014,$73.53 ,$76.95 ,7/15/2014,4.65%
HDGE,Long,5/27/2014,$12.41 ,$11.84 ,6/27/2014,-4.59%
MMM,Short,5/28/2014,$141.70 ,$139.50 ,8/1/2014,1.55%
IYT,Short,5/29/2014,$1.50 ,$1.90 ,6/12/2014,26.00%
RDY,Long,5/29/2014,$38.84 ,$42.20 ,6/30/2014,8.64%
NFLX,Short,5/30/2014,$420.00 ,$433.45 ,10/13/2014,-3.20%
DAL,Short,6/4/2014,$1.45 ,$2.90 ,6/12/2014,100.00%
TJX,Long,6/4/2014,$54.45 ,$55.23 ,6/13/2014,1.43%
BA,Short,6/5/2014,$137.05 ,$132.15 ,6/12/2014,3.57%
INTC,Short,6/6/2014,$28.20 ,$30.19 ,6/20/2014,-7.06%
CSCO,Short,6/11/2014,$25.04 ,$24.82 ,7/1/2014,0.88%
CLF,Long,6/16/2014,$14.00 ,$14.34 ,6/17/2014,-2.22%
CVX,Short,6/16/2014,$127.90 ,$126.35 ,8/4/2014,1.21%
MU,Short,6/17/2014,$32.10 ,$31.30 ,6/23/2014,2.50%
CVX,Long,6/18/2014,$1.41 ,$1.59 ,6/26/2014,12.77%
ORLY,Short,6/20/2014,$150.58 ,$146.68 ,7/23/2014,2.59%
DIS,Short,6/24/2014,$83.05 ,$89.25 ,8/15/2014,-7.47%
CMG,Short,6/27/2014,$596.25 ,$674.00 ,7/28/2014,-13.04%
IBB,Short,7/2/2014,$264.90 ,$253.40 ,7/8/2014,4.34%
SNDK,Short,7/7/2014,$106.80 ,$95.95 ,7/17/2014,9.97%
AXP,Long,7/7/2014,$95.37 ,$92.00 ,7/28/2014,-3.53%
USO,Long,7/11/2014,$37.38 ,$38.00 ,7/29/2014,0.83%
SMH,Short,7/15/2014,$50.77 ,$48.95 ,10/2/2014,3.59%
HPQ,Long,7/16/2014,$0.88 ,$1.18 ,8/1/2014,34.10%
EWC,Short,7/17/2014,$32.45 ,$31.45 ,8/8/2014,3.08%
UNG,Long,7/22/2014,$20.85 ,$20.93 ,8/1/2014,0.33%
IYT,Short,7/23/2014,$151.90 ,$147.60 ,7/29/2014,2.83%
FXE,Long,7/25/2014,$132.50 ,$129.55 ,8/29/2014,-2.22%
SINA,Long,7/29/2014,$49.25 ,$51.45 ,8/15/2014,4.47%
CORN,Long,7/30/2014,$26.14 ,$23.12 ,9/23/2014,-11.55%
SPY,Short,7/31/2014,$194.42 ,$193.86 ,8/11/2014,0.55%
PHO,Long,8/5/2014,$24.73 ,$25.98 ,9/3/2014,5.06%
HIMX,Long,8/6/2014,$6.47 ,$7.04 ,8/7/2014,8.81%
SWN,Long,8/6/2014,$40.29 ,$36.53 ,9/19/2014,-9.33%
SYMC,Short,8/7/2014,$24.62 ,$23.49 ,10/1/2014,4.59%
YHOO,Long,8/7/2014,$35.70 ,$37.75 ,8/18/2014,5.74%
WFM,Long,8/7/2014,$2.50 ,$2.91 ,8/11/2014,16.40%
EWG,Long,8/8/2014,$28.07 ,$29.01 ,8/15/2014,3.35%
S,Long,8/12/2014,$5.84 ,$6.36 ,9/10/2014,8.90%
DNDN,Long,8/13/2014,$1.35 ,$1.57 ,9/15/2014,16.30%
VXX,Long,8/15/2014,$28.30 ,$30.40 ,8/15/2014,7.42%
VXX,Long,8/18/2014,$27.85 ,$28.42 ,8/28/2014,2.05%
