Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
CLNT,Long,2012-01-02,0.25,0.45,2012-02-10,80.0,Equity / Other,2012,1,Monday,39.0
SCEI,Long,2012-01-02,1.1,1.65,2012-03-01,86.0,Equity / Other,2012,1,Monday,59.0
MA,Short,2012-01-02,383.7,345.7,2012-01-06,9.77,Financial Services,2012,1,Monday,4.0
SMSI,Long,2012-01-03,1.17,1.64,2012-01-18,75.0,Technology,2012,1,Tuesday,15.0
DHT,Long,2012-01-04,0.75,1.5,2012-01-30,100.0,Energy,2012,1,Wednesday,26.0
HIMX,Long,2012-01-05,1.01,1.51,2012-02-03,50.0,Technology,2012,1,Thursday,29.0
QTWW,Long,2012-01-13,0.78,1.08,2012-02-02,39.0,Equity / Other,2012,1,Friday,20.0
UNG,Long,2012-01-17,5.49,5.7,2012-01-24,3.8,Commodities,2012,1,Tuesday,7.0
QID,Long,2012-01-19,39.1,35.9,2012-02-08,-8.0,Other/ETF,2012,1,Thursday,20.0
LEDS,Long,2012-01-20,3.5,4.25,2012-02-28,25.0,Technology,2012,1,Friday,39.0
BOM,Long,2012-01-25,10.5,11.25,2012-01-31,7.14,Equity / Other,2012,1,Wednesday,6.0
SDS,Long,2012-01-26,17.08,17.55,2012-05-18,2.7,Equity / Other,2012,1,Thursday,113.0
AAPL,Long,2012-02-15,514.26,489.26,2012-02-16,5.0,Technology,2012,2,Wednesday,1.0
MSFT,Long,2012-02-16,31.5,31.5,2012-04-17,0.0,Technology,2012,2,Thursday,61.0
CAT,Short,2012-02-17,116.05,109.55,2012-03-05,6.5,Industrials,2012,2,Friday,17.0
MA,Long,2012-02-29,427.75,427.75,2012-03-19,0.0,Financial Services,2012,2,Wednesday,19.0
AAPL,Short,2012-03-13,563.75,636.23,2012-04-09,-12.8,Technology,2012,3,Tuesday,27.0
LCC,Long,2012-03-14,7.0,7.63,2012-03-15,-9.0,Industrials,2012,3,Wednesday,1.0
HOG,Short,2012-03-14,50.0,48.5,2012-03-29,3.0,Consumer Cyclical,2012,3,Wednesday,15.0
IBM,Long,2012-03-15,205.9,205.9,2012-04-16,0.0,Technology,2012,3,Thursday,32.0
VXX,Long,2012-03-20,20.05,15.7,2012-03-26,-21.0,Leveraged ETF,2012,3,Tuesday,6.0
BAC,Long,2012-04-09,10.05,8.55,2012-04-09,15.0,Financial Services,2012,4,Monday,0.0
PCLN,Short,2012-04-10,753.25,719.75,2012-04-11,4.45,Equity / Other,2012,4,Tuesday,1.0
SBUX,Short,2012-04-12,60.35,55.5,2012-05-04,8.35,Consumer Cyclical,2012,4,Thursday,22.0
SHLD,Long,2012-04-23,52.06,58.06,2012-05-01,11.5,Consumer Cyclical,2012,4,Monday,8.0
COP,Long,2012-04-25,70.9,72.19,2012-04-26,1.8,Energy,2012,4,Wednesday,1.0
SPG,Short,2012-05-01,157.65,149.65,2012-05-18,8.5,Real Estate,2012,5,Tuesday,17.0
FSLR,Long,2012-05-08,17.25,15.25,2012-05-15,11.6,Technology,2012,5,Tuesday,7.0
ZNGA,Long,2012-05-10,7.95,8.5,2012-05-15,7.0,Communication Services,2012,5,Thursday,5.0
JPM,Long,2012-05-18,33.25,35.4,2012-06-22,6.5,Financial Services,2012,5,Friday,35.0
GG,Long,2012-05-18,32.95,36.75,2012-05-23,11.5,Equity / Other,2012,5,Friday,5.0
LVS,Long,2012-05-21,45.95,48.45,2012-05-22,5.4,Consumer Cyclical,2012,5,Monday,1.0
FB,Long,2012-05-30,27.9,33.2,2012-06-15,18.9,Equity / Other,2012,5,Wednesday,16.0
USO,Long,2012-05-30,33.1,31.43,2012-06-01,-5.0,Commodities,2012,5,Wednesday,2.0
SPY,Short,2012-06-19,136.15,134.75,2012-06-20,1.0,Index ETF,2012,6,Tuesday,1.0
AAPL,Short,2012-06-25,571.25,599.41,2012-07-03,-4.9,Technology,2012,6,Monday,8.0
NFLX,Long,2012-06-27,66.65,77.05,2012-07-05,15.6,Communication Services,2012,6,Wednesday,8.0
WMT,Short,2012-07-09,71.5,75.14,2012-09-13,-5.0,Consumer Defensive,2012,7,Monday,66.0
CORN,Short,2012-07-17,50.2,47.85,2012-07-24,4.6,Equity / Other,2012,7,Tuesday,7.0
USO,Short,2012-07-19,34.75,32.95,2012-07-23,5.18,Commodities,2012,7,Thursday,4.0
ROSG,Long,2012-08-02,5.9,4.52,2012-08-06,-23.0,Equity / Other,2012,8,Thursday,4.0
SDS,Long,2012-08-07,14.58,13.2,2012-09-14,-9.4,Equity / Other,2012,8,Tuesday,38.0
QCOM,Long,2012-08-14,62.33,62.33,2012-09-14,-2.0,Technology,2012,8,Tuesday,31.0
GLD,Long,2012-08-23,162.25,168.25,2012-09-07,-3.7,Commodities,2012,8,Thursday,15.0
SHZ,Long,2012-09-03,0.4,0.03,2012-10-11,-25.0,Equity / Other,2012,9,Monday,38.0
UUP,Long,2012-09-13,21.74,22.25,2012-11-16,2.3,Equity / Other,2012,9,Thursday,64.0
INTC,Long,2012-09-17,23.25,21.6,2012-10-11,-7.0,Technology,2012,9,Monday,24.0
GOOG,Short,2012-09-24,755.0,735.0,2012-10-18,2.65,Communication Services,2012,9,Monday,24.0
HPQ,Long,2012-09-28,17.22,15.22,2012-10-03,-11.6,Technology,2012,9,Friday,5.0
QCOR,Long,2012-10-01,18.95,22.35,2012-10-09,18.0,Healthcare,2012,10,Monday,8.0
SDS,Long,2012-10-04,53.32,55.01,2012-10-10,3.1,Equity / Other,2012,10,Thursday,6.0
CLNE,Long,2012-10-11,13.15,12.0,2012-10-31,-8.0,Energy,2012,10,Thursday,20.0
UGA,Long,2012-10-17,57.72,56.06,2012-10-20,-2.87,Equity / Other,2012,10,Wednesday,3.0
QQQ,Short,2012-10-18,68.0,65.0,2012-10-25,4.4,Index ETF,2012,10,Thursday,7.0
IBM,Long,2012-10-23,191.25,197.25,2012-11-01,3.4,Technology,2012,10,Tuesday,9.0
SRPT,Long,2012-10-24,23.15,26.65,2012-11-12,15.12,Healthcare,2012,10,Wednesday,19.0
DANG,Long,2012-11-07,3.85,5.2,2013-05-14,35.0,Equity / Other,2012,11,Wednesday,188.0
AAPL,Long,2012-11-07,562.1,578.5,2012-12-04,2.92,Technology,2012,11,Wednesday,27.0
XLF,Long,2012-11-08,15.57,15.55,2012-11-28,-0.128452152,Equity / Other,2012,11,Thursday,20.0
VVUS,Long,2012-11-08,10.3,12.5,2012-11-21,21.4,Equity / Other,2012,11,Thursday,13.0
IBM,Long,2012-11-12,187.95,193.15,2012-11-23,2.8,Technology,2012,11,Monday,11.0
HPQ,Short,2012-11-13,12.95,11.8,2012-11-20,8.8,Technology,2012,11,Tuesday,7.0
OCZ,Long,2012-11-13,1.3,1.83,2012-12-03,41.0,Technology,2012,11,Tuesday,20.0
BIDU,Long,2012-11-14,94.85,98.85,2012-12-29,4.22,Communication Services,2012,11,Wednesday,45.0
MCP,Long,2012-11-14,6.05,7.7,2012-11-23,27.3,Equity / Other,2012,11,Wednesday,9.0
CVX,Long,2012-11-15,100.9,105.8,2013-01-29,4.9,Energy,2012,11,Thursday,75.0
QLD,Long,2012-11-16,48.95,55.2,2012-11-28,12.8,Equity / Other,2012,11,Friday,12.0
RENN,Long,2012-11-27,3.45,4.02,2013-01-07,16.5,Equity / Other,2012,11,Tuesday,41.0
AMZN,Short,2012-11-29,250.35,268.5,2013-01-07,-7.3,Consumer Cyclical,2012,11,Thursday,39.0
GNK,Long,2012-12-13,2.76,3.27,2012-12-18,18.5,Industrials,2012,12,Thursday,5.0
PEIX,Long,2013-01-01,0.35,0.45,2013-02-04,29.5,Equity / Other,2013,1,Tuesday,34.0
ROSG,Long,2013-01-03,4.25,5.5,2013-01-09,30.0,Equity / Other,2013,1,Thursday,6.0
MPEL,Short,2013-01-07,19.1,20.19,2013-01-22,-5.65,Equity / Other,2013,1,Monday,15.0
BBY,Long,2013-01-08,11.9,13.25,2013-01-11,11.3,Consumer Cyclical,2013,1,Tuesday,3.0
DISH,Short,2013-01-15,37.05,36.1,2013-02-19,2.56,Equity / Other,2013,1,Tuesday,35.0
